Manufacturer, Model, Memory (GB), Memory BUS (bit), Price
Zotac,Draw 4900,16 GB,192 bit,6134.71 RON
Asus,Magazine 3400,8 GB,128 bit,8577.95 RON
Palit,Run 3700,12 GB,128 bit,4435.72 RON
Palit,Rich 5500,24 GB,128 bit,1645.99 RON
Palit,Travel 4400,12 GB,256 bit,9873.77 RON
Palit,Drug 3300,12 GB,256 bit,7829.63 RON
Asus,Study 4100,24 GB,128 bit,1946.27 RON
Gigabyte,Manager 4900,8 GB,192 bit,2420.2 RON
Gigabyte,Stock 3900,16 GB,128 bit,2668.66 RON
MSI,Write 3700,8 GB,256 bit,1579.02 RON
MSI,Seat 4200,6 GB,192 bit,6486.5 RON
Gigabyte,Sort 5300,4 GB,256 bit,9474.11 RON
MSI,Better 4900,4 GB,256 bit,7611.68 RON
Asus,Civil 5000,12 GB,256 bit,7374.07 RON
Palit,Pretty 4200,4 GB,128 bit,6689.87 RON
MSI,Whole 4800,16 GB,128 bit,7031.07 RON
Palit,Today 3900,16 GB,128 bit,8577.93 RON
Asus,Anything 4200,16 GB,256 bit,4363.35 RON
Palit,Movie 4600,24 GB,128 bit,5047.54 RON
Asus,High 5000,12 GB,192 bit,8921.19 RON
Asus,Open 4900,8 GB,128 bit,1838.64 RON
Zotac,Discover 4800,8 GB,192 bit,1243.06 RON
Asus,Collection 4900,6 GB,256 bit,5288.16 RON
Asus,Decide 3900,4 GB,192 bit,8222.75 RON
Gigabyte,Pay 5100,12 GB,256 bit,1338.48 RON
Asus,Common 4700,4 GB,256 bit,3198.32 RON
MSI,Institution 4700,6 GB,128 bit,1747.99 RON
Gigabyte,Do 5500,6 GB,128 bit,1349.17 RON
Palit,Remain 3500,16 GB,192 bit,1974.92 RON
Gigabyte,Affect 5300,8 GB,128 bit,8050.56 RON
MSI,Agreement 3700,16 GB,256 bit,9257.7 RON
Asus,Drive 3900,24 GB,128 bit,1938.54 RON
Palit,Fund 3900,16 GB,128 bit,7176.84 RON
Gigabyte,Market 5100,16 GB,256 bit,2361.06 RON
MSI,Professional 4500,12 GB,128 bit,1673.72 RON
Gigabyte,Begin 3400,16 GB,192 bit,6326.7 RON
Asus,Future 4700,12 GB,192 bit,6117.57 RON
Palit,Green 4300,6 GB,256 bit,4524.24 RON
Gigabyte,Ago 4700,8 GB,128 bit,2235.63 RON
Asus,Hope 4700,24 GB,128 bit,3980.79 RON
Palit,Once 4900,24 GB,192 bit,9108.41 RON
Palit,Inside 4700,24 GB,128 bit,1035.54 RON
MSI,Have 5300,6 GB,192 bit,3891.97 RON
Asus,Choose 5500,12 GB,128 bit,7807.48 RON
Asus,Country 3700,4 GB,256 bit,3296.37 RON
Palit,Before 5000,6 GB,192 bit,1196.59 RON
Palit,Possible 5200,24 GB,192 bit,1121.55 RON
Zotac,Enough 3900,6 GB,256 bit,8857.65 RON
Asus,Voice 3700,24 GB,128 bit,6339.55 RON
MSI,Interest 4200,4 GB,256 bit,4375.04 RON
