Manufacturer, Model, Power (W), Certification, Price
Seasonic,Save,1200 W,80 Plus Bronze,225.86 RON
GIGABYTE,Will,550 W,80 Plus Platinum,703.53 RON
Seasonic,You,2000 W,80 Plus Gold,183.82 RON
Corsair,General,850 W,80 Plus Platinum,476.21 RON
Thermaltake,Agency,1500 W,80 Plus Gold,551.14 RON
Thermaltake,Newspaper,650 W,80 Plus Titanium,941.74 RON
GIGABYTE,Anything,2000 W,80 Plus Silver,764.21 RON
Corsair,Close,1000 W,80 Plus Bronze,660.66 RON
Seasonic,Your,600 W,80 Plus Bronze,834.24 RON
GIGABYTE,Bank,850 W,80 Plus Titanium,791.71 RON
AQIRYS,Be,600 W,80 Plus Bronze,782.9 RON
Corsair,Enough,850 W,80 Plus Bronze,181.73 RON
Cooler Master,Seem,650 W,80 Plus Silver,143.9 RON
GIGABYTE,Dog,1500 W,80 Plus Gold,853.45 RON
AQIRYS,Technology,1000 W,80 Plus Titanium,697.98 RON
GIGABYTE,Sell,1500 W,80 Plus Platinum,551.3 RON
AQIRYS,Store,1200 W,80 Plus Gold,960.34 RON
Seasonic,Contain,2000 W,80 Plus Silver,427.1 RON
Corsair,Because,2000 W,80 Plus Bronze,481.02 RON
Corsair,Type,1500 W,80 Plus Bronze,815.24 RON
GIGABYTE,Become,600 W,80 Plus Titanium,861.51 RON
Cooler Master,Hundred,550 W,80 Plus Gold,190.01 RON
Corsair,City,550 W,80 Plus Titanium,441.12 RON
Thermaltake,Today,850 W,80 Plus Gold,455.41 RON
Thermaltake,Case,1500 W,80 Plus Bronze,572.48 RON
Corsair,Pm,600 W,80 Plus Silver,411.36 RON
AQIRYS,Political,600 W,80 Plus Silver,722.28 RON
Seasonic,Probably,850 W,80 Plus Bronze,432.6 RON
Corsair,Day,1500 W,80 Plus Titanium,855.45 RON
Thermaltake,Cup,750 W,80 Plus Bronze,581.2 RON
Thermaltake,Hear,600 W,80 Plus Silver,176.43 RON
be quiet!,Me,550 W,80 Plus Gold,245.08 RON
Corsair,Represent,650 W,80 Plus Platinum,475.72 RON
Thermaltake,Movement,500 W,80 Plus Gold,647.56 RON
Thermaltake,Leave,500 W,80 Plus Platinum,387.35 RON
Cooler Master,Help,600 W,80 Plus Bronze,593.6 RON
GIGABYTE,Democratic,1200 W,80 Plus Titanium,794.1 RON
Thermaltake,Little,650 W,80 Plus Platinum,465.44 RON
Cooler Master,Form,550 W,80 Plus Gold,301.44 RON
be quiet!,Quickly,850 W,80 Plus Gold,137.76 RON
be quiet!,Raise,1000 W,80 Plus Bronze,165.74 RON
Cooler Master,Past,1500 W,80 Plus Gold,398.13 RON
Cooler Master,Organization,750 W,80 Plus Silver,196.89 RON
Corsair,Where,2000 W,80 Plus Titanium,729.54 RON
Thermaltake,Finish,1200 W,80 Plus Gold,431.22 RON
Thermaltake,Husband,1200 W,80 Plus Gold,924.23 RON
Seasonic,Black,1200 W,80 Plus Titanium,435.29 RON
GIGABYTE,Throw,550 W,80 Plus Gold,845.41 RON
AQIRYS,Information,750 W,80 Plus Gold,676.83 RON
Corsair,Receive,500 W,80 Plus Titanium,587.46 RON
Seasonic,Start,1000 W,80 Plus Gold,271.8 RON
Cooler Master,Pretty,550 W,80 Plus Silver,483.64 RON
Corsair,Live,2000 W,80 Plus Titanium,209.55 RON
Corsair,Any,1500 W,80 Plus Gold,327.89 RON
Seasonic,Through,550 W,80 Plus Gold,753.06 RON
be quiet!,Serve,1500 W,80 Plus Silver,588.96 RON
Corsair,Government,500 W,80 Plus Bronze,903.16 RON
GIGABYTE,Team,500 W,80 Plus Silver,885.61 RON
be quiet!,Believe,500 W,80 Plus Gold,972.88 RON
be quiet!,Doctor,750 W,80 Plus Titanium,580.59 RON
Seasonic,Social,1000 W,80 Plus Gold,863.84 RON
be quiet!,Focus,1200 W,80 Plus Gold,813.2 RON
Thermaltake,Tax,2000 W,80 Plus Gold,440.14 RON
Seasonic,Lead,1200 W,80 Plus Titanium,878.07 RON
be quiet!,Consumer,650 W,80 Plus Bronze,476.88 RON
Thermaltake,Happen,1200 W,80 Plus Platinum,635.97 RON
Seasonic,Whatever,1000 W,80 Plus Platinum,880.54 RON
be quiet!,Stop,1200 W,80 Plus Bronze,959.0 RON
Cooler Master,Determine,650 W,80 Plus Silver,535.14 RON
be quiet!,Long,1200 W,80 Plus Bronze,101.0 RON
AQIRYS,Second,1500 W,80 Plus Titanium,740.74 RON
Thermaltake,Mouth,1000 W,80 Plus Bronze,654.96 RON
Thermaltake,Day,650 W,80 Plus Gold,368.43 RON
GIGABYTE,Head,600 W,80 Plus Gold,102.29 RON
Seasonic,Spring,600 W,80 Plus Titanium,639.84 RON
GIGABYTE,Look,500 W,80 Plus Titanium,975.76 RON
Corsair,Party,850 W,80 Plus Platinum,605.87 RON
Cooler Master,Move,600 W,80 Plus Platinum,992.27 RON
Corsair,Thus,850 W,80 Plus Platinum,370.82 RON
Cooler Master,Know,1500 W,80 Plus Platinum,309.89 RON
AQIRYS,Soldier,2000 W,80 Plus Silver,546.42 RON
GIGABYTE,Significant,650 W,80 Plus Titanium,197.96 RON
AQIRYS,Husband,850 W,80 Plus Platinum,840.73 RON
Thermaltake,Center,850 W,80 Plus Titanium,512.98 RON
Seasonic,Once,1500 W,80 Plus Silver,675.29 RON
AQIRYS,Positive,1500 W,80 Plus Titanium,245.93 RON
AQIRYS,Coach,850 W,80 Plus Bronze,417.31 RON
Seasonic,Produce,550 W,80 Plus Silver,962.51 RON
be quiet!,Explain,500 W,80 Plus Platinum,306.96 RON
GIGABYTE,Sort,1000 W,80 Plus Titanium,340.8 RON
Cooler Master,Knowledge,650 W,80 Plus Titanium,241.0 RON
Seasonic,Same,1000 W,80 Plus Titanium,681.66 RON
Seasonic,Red,1500 W,80 Plus Titanium,521.65 RON
be quiet!,Quickly,500 W,80 Plus Platinum,615.64 RON
Thermaltake,Yard,1000 W,80 Plus Gold,616.02 RON
AQIRYS,Usually,650 W,80 Plus Platinum,654.63 RON
Cooler Master,Have,850 W,80 Plus Platinum,377.23 RON
Seasonic,Oil,750 W,80 Plus Bronze,149.87 RON
Seasonic,Party,650 W,80 Plus Silver,210.63 RON
Corsair,Employee,650 W,80 Plus Gold,957.53 RON
Thermaltake,Candidate,1200 W,80 Plus Bronze,962.67 RON
Thermaltake,Program,600 W,80 Plus Bronze,734.16 RON
Seasonic,Show,550 W,80 Plus Silver,574.03 RON
Cooler Master,Student,600 W,80 Plus Silver,315.51 RON
