Manufacturer, Model, Capacity (GB), Speed (MHz), Type, Price
G.Skill,Want,4 GB,3000 MHz,DDR4,1147.48 RON
Crucial,Must,4 GB,5600 MHz,DDR5,1212.31 RON
Kingston,Wind,8 GB,3600 MHz,DDR4,1115.07 RON
Kingston,Painting,8 GB,3000 MHz,DDR4,1264.1 RON
Crucial,Former,64 GB,5200 MHz,DDR5,758.82 RON
Crucial,Word,16 GB,3200 MHz,DDR4,177.52 RON
HyperX,Authority,4 GB,6000 MHz,DDR5,552.11 RON
Patriot,Meet,32 GB,3600 MHz,DDR4,1096.72 RON
HyperX,Forward,64 GB,2133 MHz,DDR4,461.91 RON
Corsair,Life,16 GB,2400 MHz,DDR4,766.87 RON
Patriot,Section,4 GB,5200 MHz,DDR5,597.5 RON
ADATA,Provide,8 GB,3000 MHz,DDR4,1187.86 RON
HyperX,Director,8 GB,3000 MHz,DDR4,525.83 RON
G.Skill,Also,32 GB,5600 MHz,DDR5,1269.92 RON
Kingston,Another,16 GB,2133 MHz,DDR4,1076.57 RON
ADATA,Grow,32 GB,5600 MHz,DDR5,493.9 RON
Kingston,Really,8 GB,5200 MHz,DDR5,1072.85 RON
Kingston,Same,4 GB,6000 MHz,DDR5,555.9 RON
Kingston,Too,32 GB,3000 MHz,DDR4,1499.22 RON
Patriot,Cut,64 GB,5600 MHz,DDR5,1356.15 RON
Corsair,Question,32 GB,5200 MHz,DDR5,783.52 RON
ADATA,Some,16 GB,2133 MHz,DDR4,895.44 RON
G.Skill,Home,4 GB,5200 MHz,DDR5,942.73 RON
HyperX,Concern,32 GB,3000 MHz,DDR4,1197.0 RON
Corsair,Network,4 GB,3600 MHz,DDR4,223.44 RON
ADATA,Without,16 GB,2666 MHz,DDR4,689.94 RON
HyperX,Hotel,64 GB,5600 MHz,DDR5,780.48 RON
Corsair,Consider,4 GB,2400 MHz,DDR4,833.47 RON
Corsair,You,8 GB,2666 MHz,DDR4,1351.62 RON
Patriot,Check,64 GB,3000 MHz,DDR4,1007.16 RON
Kingston,Understand,64 GB,2400 MHz,DDR4,1376.02 RON
HyperX,Cause,16 GB,6000 MHz,DDR5,944.25 RON
Crucial,Employee,16 GB,5200 MHz,DDR5,416.22 RON
Corsair,Test,8 GB,3200 MHz,DDR4,353.45 RON
ADATA,Arrive,8 GB,5600 MHz,DDR5,1118.37 RON
HyperX,Debate,64 GB,6000 MHz,DDR5,1209.77 RON
HyperX,Song,4 GB,2133 MHz,DDR4,1456.58 RON
Kingston,Create,8 GB,6000 MHz,DDR5,929.03 RON
Crucial,Cup,16 GB,3000 MHz,DDR4,191.65 RON
ADATA,Significant,8 GB,6000 MHz,DDR5,1165.05 RON
Crucial,Chair,16 GB,5200 MHz,DDR5,354.63 RON
G.Skill,Miss,8 GB,2666 MHz,DDR4,763.44 RON
HyperX,Measure,8 GB,2400 MHz,DDR4,556.03 RON
Patriot,Our,64 GB,3200 MHz,DDR4,492.55 RON
Kingston,Benefit,8 GB,2133 MHz,DDR4,1297.57 RON
Corsair,Southern,32 GB,5600 MHz,DDR5,1185.16 RON
Crucial,Still,4 GB,2400 MHz,DDR4,186.98 RON
G.Skill,Government,16 GB,3600 MHz,DDR4,435.28 RON
ADATA,Culture,16 GB,2400 MHz,DDR4,761.86 RON
Kingston,Value,32 GB,5200 MHz,DDR5,1046.35 RON
HyperX,Source,16 GB,2133 MHz,DDR4,1112.18 RON
G.Skill,Yeah,16 GB,2666 MHz,DDR4,1205.4 RON
HyperX,Tv,32 GB,2666 MHz,DDR4,1241.06 RON
ADATA,Value,32 GB,2666 MHz,DDR4,1007.92 RON
HyperX,Century,32 GB,2666 MHz,DDR4,1181.18 RON
Patriot,Just,16 GB,5200 MHz,DDR5,833.47 RON
Kingston,Everything,64 GB,3600 MHz,DDR4,641.19 RON
Crucial,Young,16 GB,5200 MHz,DDR5,249.57 RON
ADATA,Support,8 GB,3000 MHz,DDR4,99.32 RON
HyperX,Notice,16 GB,5200 MHz,DDR5,1010.3 RON
G.Skill,Staff,4 GB,2666 MHz,DDR4,502.26 RON
Kingston,Industry,4 GB,5200 MHz,DDR5,1287.82 RON
HyperX,Economy,4 GB,2400 MHz,DDR4,794.88 RON
Kingston,Development,64 GB,6000 MHz,DDR5,748.51 RON
Crucial,Fish,4 GB,2400 MHz,DDR4,318.01 RON
G.Skill,Manager,64 GB,3600 MHz,DDR4,865.68 RON
ADATA,Pay,64 GB,5600 MHz,DDR5,169.81 RON
Patriot,Call,16 GB,2133 MHz,DDR4,852.51 RON
HyperX,Remain,8 GB,3600 MHz,DDR4,231.37 RON
Corsair,Air,16 GB,5200 MHz,DDR5,1295.36 RON
ADATA,Act,32 GB,2666 MHz,DDR4,304.21 RON
Corsair,Movie,8 GB,2666 MHz,DDR4,1232.5 RON
Crucial,Father,8 GB,5200 MHz,DDR5,1311.22 RON
Kingston,Dinner,8 GB,5200 MHz,DDR5,1179.23 RON
Kingston,Simple,4 GB,6000 MHz,DDR5,1241.4 RON
Kingston,Language,8 GB,3200 MHz,DDR4,271.68 RON
ADATA,Size,64 GB,6000 MHz,DDR5,916.07 RON
Crucial,Fine,16 GB,2400 MHz,DDR4,579.78 RON
HyperX,Argue,8 GB,3600 MHz,DDR4,911.22 RON
G.Skill,Get,64 GB,3000 MHz,DDR4,1222.46 RON
G.Skill,Visit,32 GB,3000 MHz,DDR4,282.98 RON
Crucial,At,8 GB,3200 MHz,DDR4,820.57 RON
HyperX,Election,32 GB,5200 MHz,DDR5,878.57 RON
ADATA,I,64 GB,5200 MHz,DDR5,559.55 RON
Corsair,Bed,32 GB,3000 MHz,DDR4,1346.08 RON
Crucial,Window,64 GB,3600 MHz,DDR4,90.82 RON
HyperX,Eat,8 GB,2133 MHz,DDR4,1045.25 RON
Corsair,Itself,4 GB,3600 MHz,DDR4,694.79 RON
Kingston,Pay,32 GB,5600 MHz,DDR5,178.33 RON
Kingston,Including,64 GB,6000 MHz,DDR5,1476.36 RON
G.Skill,Attorney,8 GB,5200 MHz,DDR5,981.11 RON
Corsair,Brother,16 GB,3000 MHz,DDR4,259.84 RON
Crucial,Who,32 GB,3000 MHz,DDR4,351.62 RON
Patriot,Letter,64 GB,5600 MHz,DDR5,1008.34 RON
G.Skill,Painting,64 GB,2400 MHz,DDR4,310.83 RON
Crucial,Statement,32 GB,3600 MHz,DDR4,667.12 RON
Corsair,Any,4 GB,5200 MHz,DDR5,1170.05 RON
Crucial,Indicate,8 GB,2133 MHz,DDR4,982.8 RON
Crucial,Understand,32 GB,3600 MHz,DDR4,652.45 RON
Crucial,Quality,8 GB,2133 MHz,DDR4,1439.74 RON
ADATA,Tell,64 GB,2666 MHz,DDR4,949.84 RON
Kingston,Poor,8 GB,6000 MHz,DDR5,731.79 RON
G.Skill,Possible,16 GB,5600 MHz,DDR5,1431.07 RON
HyperX,Traditional,8 GB,2666 MHz,DDR4,1234.66 RON
ADATA,Technology,64 GB,5200 MHz,DDR5,1062.22 RON
HyperX,Sometimes,8 GB,6000 MHz,DDR5,656.0 RON
G.Skill,Which,8 GB,5600 MHz,DDR5,894.56 RON
HyperX,Staff,16 GB,2666 MHz,DDR4,297.78 RON
Corsair,Page,16 GB,5200 MHz,DDR5,1284.09 RON
Patriot,Knowledge,16 GB,2133 MHz,DDR4,1498.14 RON
G.Skill,Should,32 GB,2133 MHz,DDR4,562.73 RON
HyperX,Money,4 GB,5600 MHz,DDR5,128.48 RON
Patriot,Cup,4 GB,2666 MHz,DDR4,868.66 RON
Corsair,Production,16 GB,2133 MHz,DDR4,801.39 RON
ADATA,Other,16 GB,6000 MHz,DDR5,921.68 RON
G.Skill,Spring,64 GB,3000 MHz,DDR4,845.43 RON
G.Skill,Address,8 GB,5200 MHz,DDR5,887.77 RON
G.Skill,Level,4 GB,5200 MHz,DDR5,1162.17 RON
Patriot,Official,32 GB,3600 MHz,DDR4,177.69 RON
ADATA,Operation,32 GB,3600 MHz,DDR4,1067.28 RON
Crucial,Senior,4 GB,6000 MHz,DDR5,817.29 RON
HyperX,Dream,4 GB,5200 MHz,DDR5,598.9 RON
G.Skill,Sign,8 GB,5200 MHz,DDR5,1058.9 RON
Crucial,Performance,16 GB,5200 MHz,DDR5,1409.67 RON
HyperX,Over,4 GB,3600 MHz,DDR4,472.17 RON
Kingston,Charge,32 GB,5600 MHz,DDR5,1067.34 RON
Patriot,Ball,8 GB,3200 MHz,DDR4,1350.19 RON
Patriot,Expert,32 GB,3000 MHz,DDR4,997.35 RON
HyperX,Public,16 GB,5200 MHz,DDR5,1334.3 RON
G.Skill,Serve,16 GB,3000 MHz,DDR4,323.48 RON
Patriot,Out,32 GB,3600 MHz,DDR4,284.11 RON
G.Skill,Maybe,32 GB,6000 MHz,DDR5,188.71 RON
Kingston,Rock,64 GB,2400 MHz,DDR4,596.23 RON
Patriot,Through,8 GB,2133 MHz,DDR4,1319.25 RON
Corsair,Fly,16 GB,5600 MHz,DDR5,739.62 RON
Crucial,Two,64 GB,3200 MHz,DDR4,253.43 RON
G.Skill,Water,4 GB,3000 MHz,DDR4,225.22 RON
ADATA,Similar,8 GB,2133 MHz,DDR4,190.25 RON
ADATA,Clearly,32 GB,3600 MHz,DDR4,368.08 RON
ADATA,View,16 GB,3600 MHz,DDR4,484.13 RON
G.Skill,Serious,16 GB,3200 MHz,DDR4,282.57 RON
ADATA,Receive,64 GB,6000 MHz,DDR5,902.53 RON
ADATA,Adult,4 GB,3600 MHz,DDR4,1480.89 RON
ADATA,We,64 GB,5200 MHz,DDR5,303.54 RON
HyperX,Lawyer,4 GB,2400 MHz,DDR4,1473.43 RON
Kingston,Few,4 GB,2666 MHz,DDR4,729.51 RON
G.Skill,Attack,4 GB,2133 MHz,DDR4,104.83 RON
ADATA,Ask,32 GB,3600 MHz,DDR4,1225.28 RON
Crucial,Thing,16 GB,3600 MHz,DDR4,516.21 RON
HyperX,Understand,16 GB,2666 MHz,DDR4,1277.63 RON
Kingston,Place,64 GB,2666 MHz,DDR4,135.85 RON
Kingston,Side,16 GB,2400 MHz,DDR4,120.99 RON
Corsair,To,64 GB,3200 MHz,DDR4,921.02 RON
HyperX,Her,16 GB,3000 MHz,DDR4,1404.85 RON
ADATA,Hotel,16 GB,2400 MHz,DDR4,551.88 RON
HyperX,Step,16 GB,2666 MHz,DDR4,1475.28 RON
ADATA,Story,8 GB,3000 MHz,DDR4,778.52 RON
