Manufacturer, Model, Capacity_GB, Write Speed (MB/s), Read Speed (MB/s), Price
Western Digital,Reduce,500 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,95.78 RON
Corsair,Later,1000 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,149.74 RON
Samsung,Everything,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1299.84 RON
Corsair,Eat,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,616.07 RON
Western Digital,History,1000 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1334.75 RON
Samsung,Price,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,706.45 RON
Samsung,Customer,120 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1147.78 RON
Western Digital,Challenge,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1311.52 RON
Crucial,Police,240 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,838.68 RON
Western Digital,Develop,128 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,632.03 RON
Seagate,Support,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,679.85 RON
Seagate,Power,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,220.61 RON
Samsung,Loss,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1222.66 RON
Seagate,Rest,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,902.03 RON
Western Digital,Rest,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,639.33 RON
Western Digital,All,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1202.26 RON
Samsung,Crime,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1437.17 RON
Seagate,Food,240 GB,Over 5000 MB/s,Over 5000 MB/s,309.18 RON
Western Digital,Thank,128 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1458.64 RON
Corsair,Thousand,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1447.6 RON
Samsung,Doctor,1000 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1232.25 RON
Western Digital,Front,500 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,557.01 RON
Crucial,Say,512 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,256.35 RON
ADATA,Black,2000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1261.96 RON
ADATA,Able,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1337.53 RON
Corsair,Method,128 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,837.32 RON
Samsung,Job,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,527.81 RON
ADATA,Population,1000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,93.84 RON
Western Digital,Arrive,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,945.64 RON
Seagate,Health,2000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,365.58 RON
Crucial,Suffer,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,984.52 RON
Corsair,Easy,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,507.73 RON
Corsair,Fact,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1289.35 RON
Samsung,Spring,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1347.51 RON
Western Digital,Teach,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,479.56 RON
Samsung,Bank,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,371.61 RON
ADATA,Wait,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1395.96 RON
Crucial,Certainly,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1379.56 RON
ADATA,Require,256 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,855.79 RON
Corsair,Century,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1099.91 RON
Crucial,Sister,128 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,548.26 RON
Western Digital,Major,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1279.89 RON
Crucial,Case,240 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1274.42 RON
Crucial,Hot,500 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1003.66 RON
Corsair,Cover,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1238.66 RON
Corsair,Bill,240 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1425.16 RON
Western Digital,Individual,2000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,826.05 RON
Corsair,Opportunity,240 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1345.7 RON
Corsair,Response,128 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,870.8 RON
ADATA,Today,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,248.17 RON
Samsung,Name,256 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1062.03 RON
ADATA,Lose,120 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,231.07 RON
ADATA,Theory,256 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1122.19 RON
Crucial,Treatment,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,854.06 RON
Seagate,Picture,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1351.61 RON
Seagate,Market,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1404.19 RON
Corsair,Fly,1000 GB,Over 5000 MB/s,Over 5000 MB/s,1182.43 RON
Western Digital,Republican,500 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,813.52 RON
Corsair,Prevent,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1083.65 RON
Samsung,Before,1000 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,695.96 RON
ADATA,Executive,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1135.03 RON
Corsair,Than,1000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,76.55 RON
Corsair,Thing,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1267.7 RON
Corsair,With,120 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,675.31 RON
ADATA,Win,240 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1096.0 RON
Seagate,Leave,256 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,428.1 RON
Crucial,Decide,240 GB,Over 5000 MB/s,Over 5000 MB/s,447.44 RON
ADATA,Suddenly,128 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,994.4 RON
Seagate,Tv,2000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1028.76 RON
Western Digital,Kitchen,500 GB,Over 5000 MB/s,Over 5000 MB/s,300.51 RON
ADATA,Room,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1359.96 RON
Samsung,Policy,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,789.87 RON
Seagate,Space,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,181.33 RON
Samsung,Sign,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,764.23 RON
Seagate,Determine,512 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,693.7 RON
Seagate,Pressure,128 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,971.15 RON
Seagate,Try,240 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,198.77 RON
Crucial,Green,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1397.06 RON
Western Digital,Continue,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,573.44 RON
Corsair,Series,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1419.55 RON
ADATA,Result,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1341.4 RON
Seagate,Occur,512 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,926.32 RON
Seagate,Far,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,562.48 RON
Crucial,Pattern,2000 GB,Over 5000 MB/s,Over 5000 MB/s,443.58 RON
Seagate,Loss,512 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1475.63 RON
Corsair,Three,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,95.9 RON
ADATA,Light,256 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,289.57 RON
Samsung,Play,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1057.92 RON
Western Digital,Crime,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1337.17 RON
Seagate,Only,240 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,521.01 RON
ADATA,White,120 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,923.79 RON
Western Digital,Agent,120 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1292.13 RON
Crucial,Be,128 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,209.44 RON
Samsung,Along,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,551.37 RON
ADATA,Wife,256 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,134.13 RON
Western Digital,Themselves,240 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,176.59 RON
Seagate,Everybody,2000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1278.16 RON
Western Digital,Receive,120 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,721.18 RON
ADATA,Social,120 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,900.51 RON
Seagate,Citizen,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1278.03 RON
Crucial,Apply,500 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1027.45 RON
Corsair,Specific,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1462.79 RON
Western Digital,Fill,2000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,647.08 RON
Samsung,Voice,240 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1373.97 RON
Crucial,Example,500 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,914.2 RON
Corsair,Commercial,1000 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,637.84 RON
Corsair,Night,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,632.33 RON
Crucial,Property,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,519.14 RON
ADATA,Miss,240 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,1357.2 RON
Corsair,Black,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,573.01 RON
Seagate,Chair,120 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,807.74 RON
Corsair,Case,1000 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,132.04 RON
Seagate,Girl,1000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,1091.5 RON
Samsung,No,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,429.33 RON
Crucial,Season,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1302.32 RON
ADATA,Worker,120 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1028.36 RON
Western Digital,Himself,1000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,979.94 RON
ADATA,Job,500 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,411.27 RON
Samsung,Southern,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1445.59 RON
Western Digital,Business,256 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,78.43 RON
ADATA,Will,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1492.26 RON
ADATA,Charge,1000 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,332.37 RON
Seagate,Style,120 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,829.97 RON
Western Digital,Help,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,964.13 RON
Samsung,Industry,1000 GB,Between 2000 - 2500 MB/s,Between 2500 - 3000 MB/s,930.11 RON
Crucial,Growth,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1322.14 RON
Samsung,Necessary,500 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,378.29 RON
Crucial,Get,240 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,1306.15 RON
Crucial,Tonight,512 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1283.85 RON
Seagate,Alone,1000 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1246.57 RON
Crucial,System,120 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,998.36 RON
Crucial,Tough,500 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,718.43 RON
Samsung,Establish,256 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,1259.95 RON
Samsung,Staff,240 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,815.27 RON
Western Digital,Hundred,500 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,638.14 RON
Seagate,Reveal,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,482.43 RON
Samsung,Represent,500 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,766.39 RON
Western Digital,Investment,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,818.92 RON
ADATA,Measure,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,117.63 RON
Crucial,Really,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,91.66 RON
ADATA,Stuff,256 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,428.88 RON
Crucial,Half,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,405.07 RON
Corsair,Time,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,732.31 RON
ADATA,Public,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,148.79 RON
Corsair,Attention,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,88.49 RON
Crucial,Whom,512 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,571.1 RON
Western Digital,Ten,256 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,127.35 RON
Corsair,Nature,128 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,374.63 RON
Crucial,Car,256 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1155.01 RON
ADATA,Everyone,120 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,167.96 RON
Samsung,Capital,1000 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,666.86 RON
Seagate,Like,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1039.96 RON
Crucial,Need,1000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1080.77 RON
Crucial,Wall,2000 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,247.45 RON
Samsung,Down,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1445.96 RON
Western Digital,Economic,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1018.77 RON
Crucial,Focus,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1064.69 RON
Samsung,Draw,120 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,376.36 RON
ADATA,Begin,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,808.86 RON
Crucial,Manager,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1046.1 RON
Corsair,Me,2000 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,217.58 RON
Western Digital,Drive,128 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,711.11 RON
Western Digital,Per,128 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,729.65 RON
Corsair,Drive,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1102.42 RON
ADATA,Strong,500 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,967.73 RON
Corsair,Even,1000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1300.91 RON
Seagate,Seven,256 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,858.93 RON
ADATA,Behavior,256 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,74.56 RON
Crucial,Contain,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,767.83 RON
Samsung,Above,240 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,921.82 RON
Samsung,Apply,256 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,677.92 RON
ADATA,Military,500 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1458.2 RON
ADATA,Consider,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,277.48 RON
Western Digital,Business,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,260.18 RON
Western Digital,Reduce,500 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,730.81 RON
Corsair,Lead,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,937.92 RON
Western Digital,Participant,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,800.77 RON
ADATA,Remember,512 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,214.4 RON
Crucial,Despite,256 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,1325.05 RON
Samsung,Follow,1000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,1053.64 RON
Crucial,Mouth,512 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1137.65 RON
Crucial,Present,2000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,884.97 RON
Crucial,Consumer,128 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1362.97 RON
Corsair,Town,256 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1123.47 RON
Crucial,Between,240 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,336.84 RON
Samsung,Other,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,708.99 RON
Seagate,View,512 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,447.64 RON
Corsair,Suggest,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1481.79 RON
ADATA,Her,512 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,1497.81 RON
Western Digital,Remember,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1263.82 RON
Corsair,Movie,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1346.27 RON
Seagate,Development,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,284.4 RON
Seagate,Often,500 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,289.72 RON
ADATA,Avoid,240 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,633.31 RON
Crucial,Always,128 GB,Between 3000 - 4000 MB/s,Over 5000 MB/s,266.06 RON
Samsung,Brother,128 GB,Between 2500 - 3000 MB/s,Between 2000 - 2500 MB/s,840.99 RON
Samsung,Need,128 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1039.02 RON
ADATA,Laugh,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,287.52 RON
Seagate,Point,512 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,436.49 RON
Seagate,Blood,128 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1115.44 RON
Samsung,Report,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1442.44 RON
Crucial,Soon,256 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1138.8 RON
Western Digital,Teacher,2000 GB,Over 5000 MB/s,Between 2500 - 3000 MB/s,1476.13 RON
Samsung,You,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1084.16 RON
Crucial,Home,1000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1095.86 RON
Crucial,Town,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1145.33 RON
Seagate,Financial,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,242.03 RON
Corsair,Positive,120 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1271.7 RON
Western Digital,Everybody,512 GB,Over 5000 MB/s,Between 3000 - 4000 MB/s,75.18 RON
Corsair,Six,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,460.7 RON
Western Digital,Light,512 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,345.8 RON
Seagate,Late,1000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,148.3 RON
Crucial,Operation,128 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,906.08 RON
ADATA,Several,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1145.41 RON
Corsair,Price,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,260.58 RON
Samsung,Key,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,1426.18 RON
Samsung,North,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,957.48 RON
ADATA,Because,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,748.93 RON
Western Digital,Individual,1000 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,1222.71 RON
Western Digital,Church,2000 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,1465.83 RON
Seagate,Compare,500 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,850.2 RON
Western Digital,Early,1000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,694.77 RON
Crucial,Information,512 GB,Between 2000 - 2500 MB/s,Over 5000 MB/s,1003.17 RON
Seagate,Occur,256 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1376.03 RON
Samsung,Partner,128 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,413.2 RON
ADATA,Listen,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1300.86 RON
Western Digital,Include,2000 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,964.88 RON
Corsair,Or,512 GB,Between 2500 - 3000 MB/s,Between 2500 - 3000 MB/s,360.04 RON
Crucial,Friend,240 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,1341.72 RON
Western Digital,Mr,512 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,683.56 RON
Samsung,Career,256 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1219.63 RON
Crucial,Oil,512 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1043.75 RON
Corsair,Institution,120 GB,Between 1500 - 2000 MB/s,Between 2500 - 3000 MB/s,474.77 RON
ADATA,Boy,500 GB,Between 2000 - 2500 MB/s,Between 2000 - 2500 MB/s,944.19 RON
Samsung,How,256 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,675.98 RON
Seagate,Compare,128 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1165.02 RON
Samsung,Much,120 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,920.72 RON
Seagate,Choice,240 GB,Between 1500 - 2000 MB/s,Between 3000 - 4000 MB/s,475.88 RON
Corsair,Opportunity,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,413.71 RON
Seagate,Program,240 GB,Between 2000 - 2500 MB/s,Between 1500 - 2000 MB/s,1459.34 RON
Western Digital,Hear,500 GB,Between 2500 - 3000 MB/s,Between 3000 - 4000 MB/s,1317.8 RON
Seagate,Street,256 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,366.91 RON
Corsair,Black,128 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1233.58 RON
Corsair,Suggest,240 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,764.49 RON
Samsung,Choice,500 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,1164.21 RON
Samsung,Too,120 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,498.03 RON
ADATA,Nearly,128 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,607.85 RON
Western Digital,Shoulder,128 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,1353.6 RON
Corsair,Three,256 GB,Between 1500 - 2000 MB/s,Over 5000 MB/s,320.62 RON
ADATA,Second,512 GB,Between 3000 - 4000 MB/s,Between 3000 - 4000 MB/s,589.84 RON
Western Digital,Year,2000 GB,Over 5000 MB/s,Between 2000 - 2500 MB/s,181.09 RON
ADATA,Book,1000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,475.13 RON
Seagate,Response,256 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,480.66 RON
Seagate,Save,240 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,929.13 RON
Crucial,First,2000 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,208.86 RON
Corsair,Sell,240 GB,Between 1500 - 2000 MB/s,Between 1500 - 2000 MB/s,764.88 RON
Crucial,Friend,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1360.66 RON
Seagate,Game,2000 GB,Between 3000 - 4000 MB/s,Between 1500 - 2000 MB/s,1380.7 RON
Corsair,Color,2000 GB,Between 2500 - 3000 MB/s,Over 5000 MB/s,1377.38 RON
Samsung,Evidence,512 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,799.63 RON
Western Digital,Reason,2000 GB,Over 5000 MB/s,Between 1500 - 2000 MB/s,1464.96 RON
Seagate,Energy,120 GB,Between 3000 - 4000 MB/s,Between 2000 - 2500 MB/s,518.46 RON
Corsair,Spend,500 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,116.2 RON
Seagate,Not,1000 GB,Between 1500 - 2000 MB/s,Between 2000 - 2500 MB/s,604.06 RON
Samsung,Million,2000 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,453.57 RON
Seagate,Nor,128 GB,Between 3000 - 4000 MB/s,Between 2500 - 3000 MB/s,646.68 RON
Western Digital,Budget,1000 GB,Between 2500 - 3000 MB/s,Between 1500 - 2000 MB/s,1187.22 RON
Samsung,Field,500 GB,Between 2000 - 2500 MB/s,Between 3000 - 4000 MB/s,1449.42 RON
